"","Prob Rec","MSP1_1","MSP1_2","MSP1_3","MSP1_4","MSP1_5","MSP1_6","MSP2_1","MSP2_2","MSP2_3","MSP2_4","MSP2_5","MSP2_6","glurp_1","glurp_2","glurp_3","glurp_4","glurp_5","glurp_6"
"1","0.813333333333333","1255","1263","2145","0","0","0","155","1283","212.276147097127","0","0","0","213","234.168928244819","208.307223084643","0","0","0"
"2","0.813333333333333","1262","2150","1243.05750339527","2145.23476978316","0","0","156","180","1243","1287","0","0","189","205","220","234.129733761179","0","0"
"3","0","200.778668957033","0","0","0","0","0","156","0","0","0","0","0","213","0","0","0","0","0"
"4","0","179.594353878828","231.486395460129","0","0","0","0","101","225","0","0","0","0","213","216.249370139004","0","0","0","0"
"5","0.28","1239","1268","0","0","0","0","1304","1243","0","0","0","0","205","212.839886104605","0","0","0","0"
"6","0.28","1278","1308","0","0","0","0","1243","1242.7838842257","0","0","0","0","213","210.374796826731","0","0","0","0"
"7","0.986666666666667","1260","1290","2147","0","0","0","150","1225","1311","0","0","0","213","212.666275085039","213.378371293528","0","0","0"
"8","0.986666666666667","178","2147","0","0","0","0","170","1224","0","0","0","0","213","212.793516932751","0","0","0","0"
"9","0.2","2177.04265656918","2209.42588994395","0","0","0","0","179","1241","0","0","0","0","213","220.131511860228","0","0","0","0"
"10","0.2","2148.10724561872","2212.10955241311","2213.62831377675","0","0","0","90","184","1263","0","0","0","213","212.758229552095","213.254321815856","0","0","0"
"11","0.813333333333333","1236","1244","1254.44004827201","0","0","0","181","206","1242","0","0","0","213","186.056793019455","212","0","0","0"
"12","0.813333333333333","1303.45996649951","1237.67352428453","1240.21061155217","0","0","0","195","239","1241","0","0","0","213","214","211.432019403299","0","0","0"
"13","0.213333333333333","191","2149","0","0","0","0","209","1242","0","0","0","0","213","211.960469260356","0","0","0","0"
"14","0.213333333333333","196","2147","0","0","0","0","198","286.577682193791","0","0","0","0","213","212.476955407316","0","0","0","0"
"15","0.16","1243","1274","2147","2214","0","0","207","1264","158.283947191678","156.176430753418","0","0","189","214.023875057897","189.599922818062","189.093988081066","0","0"
"16","0.16","2149","0","0","0","0","0","1225","0","0","0","0","0","213","0","0","0","0","0"
"17","0","229","294","1229","1316","1281","0","188","238","1244","1243.24736314593","133.768007384474","0","189","213","203.416597111277","205.403059376083","215.572114091511","0"
"18","0","2148","191.780396016028","2144.64419982699","0","0","0","135","171","1224","0","0","0","205","213","213.099091449497","0","0","0"
"19","0.613333333333333","201","248","1225","1231","1243","0","145","186","1244","1238.85213415479","185.343473087647","0","213","212.189897970914","211.619541433438","202.991606173508","211.401506967474","0"
"20","0.613333333333333","1240.11940000737","247.851220372119","0","0","0","0","1261","1241.81414915953","0","0","0","0","205","213","0","0","0","0"
"21","0","233.741312614366","0","0","0","0","0","1241","0","0","0","0","0","213","0","0","0","0","0"
"22","0","2146","2211","0","0","0","0","182","172.999244760837","0","0","0","0","213","213.717360144087","0","0","0","0"
"23","0.12","2148","2183","2212","0","0","0","103","195","155.012363812057","0","0","0","189","213","214.485700247487","0","0","0"
"24","0.12","189","200","243","2146","0","0","182","218","1260","176.898587590591","0","0","213","203.029111621604","236.577233871358","188.58632787162","0","0"
"25","0","186","1218","1247","2147","0","0","149","169","1244","1313.77137650302","0","0","205","213","210.753952538508","188.1918702485","0","0"
"26","0","1260.59023062938","0","0","0","0","0","185","0","0","0","0","0","213","0","0","0","0","0"
"27","0.92","2147","2183","2211","0","0","0","1223","1242.95222044867","1291.14063970493","0","0","0","213","214.596191926735","215.102634679036","0","0","0"
"28","0.92","1256","2145","0","0","0","0","1222.81382011237","102.496077608268","0","0","0","0","213","211.230367730782","0","0","0","0"
"29","0.946666666666667","191","2146","2144.06235457437","2214.58488767907","0","0","166","216","256","1242","0","0","213","210.595687186963","232.971300044269","212.570111210887","0","0"
"30","0.946666666666667","222","191","177.044689128101","248.359507726012","0","0","151","178","182","255","0","0","213","212.908844488487","205.137179115169","186.147453546447","0","0"
"31","0.426666666666667","199","1276","1306","2144","0","0","182","183.24831857141","175.297973402753","185.290943572052","0","0","213","216.047702811238","213.39376170394","211.478206606523","0","0"
"32","0.426666666666667","1267","0","0","0","0","0","181","0","0","0","0","0","213","0","0","0","0","0"
"33","0","2146","2204.09459987022","2145.21551749472","0","0","0","181","198","1241","0","0","0","203.95217501633","211.236154451666","188.287765538966","0","0","0"
"34","0","231.749285486429","223.97172510912","0","0","0","0","288","174.283884522523","0","0","0","0","205","213","0","0","0","0"
"35","0.386666666666667","232","1226","1246","2150","2191","2220","192","207","1223","1247","1262.1113271164","1228.59803188759","213","228","217.963517226181","188.994577117282","211.459570073789","212"
"36","0.386666666666667","181","227","250","1220","1231","2147","184","209","1266","209.660153318454","147.203979733943","133.619367354954","205","213","220","202.580732293643","204.503513058182","234.685243085905"
"37","0.973333333333333","196","234","263","1254","1273","2146","174","203","1240","255.226626879145","1255.34861083976","1297.03460653625","213","212.524469900125","213.437999369549","211.573233470084","219.912191935934","203.526928944758"
"38","0.973333333333333","195","232","1253","1270","2146","0","174","202","1240","147.457312880894","136.884994225536","0","205","213","209.744173335712","205.47724174268","206.030910303003","0"
"39","0.946666666666667","177","2146","2183","2211","0","0","209","220","1242","1242","0","0","189","213","186.179320725047","215.239711553368","0","0"
"40","0.946666666666667","2145","2211","0","0","0","0","204","1242","0","0","0","0","205","188.584990431931","0","0","0","0"
"41","0.88","177","1220","2146","2211","0","0","173","1263","167.903864222402","155.034379144097","0","0","213","211.916755531833","232.210605529491","212.672186270456","0","0"
"42","0.88","2213.01264196743","0","0","0","0","0","156","0","0","0","0","0","213","0","0","0","0","0"
"43","0.4","186","224","253","1252","2150","229.211301345673","145","154","174","240","277","1262","213","236","211.936432892194","212.598847646401","212.12190877504","214.499792241241"
"44","0.4","196","1284","2146","0","0","0","154","1243","193.262072976633","0","0","0","213","215.049501787839","213.623636646085","0","0","0"
"45","0","262.139020307867","2216.91614041562","0","0","0","0","177","172.548388840865","0","0","0","0","205","220","0","0","0","0"
"46","0","1304.63065918119","1234.35298896186","0","0","0","0","285","1244","0","0","0","0","197","211.816279505281","0","0","0","0"
